text,label_name,label
prime minister take game brexit bluff dublin tomorrow seemingly unconcerned mendacity visible write vice lead johnson useless come wield power,['news_&_social_concern'],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
game win black swan fastandfree,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
wellington cowboy time cowboy win group grade title performance worthy occasion cowboy down minor premier dubbo cyms spark emotional celebration,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
tunisia win second classification game angola mean dtiger win host china classification game pm today ball run believe guy,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
game finish goal scorer,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
enjoy review chapter mention screenwriter gary dauberman theresareasontheydontjustfilmthebook noscriptnofilm itstartsonthepage creditscreenwriter,['arts_&_culture' 'film_tv_&_video'],[1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
able play game currently pay stream service stream game wish,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
game day good luck tonight augsburg wish giant,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
enjoy game result want good unlucky fight,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
check smurfs race smurf village game pressman toy,['gaming' 'other_hobbies'],[0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0]
day saveagainstfear session run sa fe deadland join like usual party people home game deal train heist blast invite join home game,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
game day wish suit today rest well soon hope hear cheer wny bring bill,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
game day nfl brotherhood rise atlanta falcon nfl kickoff mercedes benz stadium,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
baker mayfield obj arrive game energy,['celebrity_&_pop_culture' 'sports'],[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
time bite happyness game start demo today palm beach gardens come happylicious bitesofhappyness demoday groceryshoppe palmbeachgarden,['food_&_dining' 'sports'],[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0]
great game college career look forward season,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
game ai live come listen deconstruct game ai game dev,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
volunteer lawn sign campaign think look like tee shirt picture need original artwork possibility,['news_&_social_concern'],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
believe officiating let game completely away utter disgrace hold accountable,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
week book rest usa tom stewart game recap owls intellectual brutality,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
photo woman final game salo floorball salibandy,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
flyeaglesfly entire offseason plus camp prepare st game season sad,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
look flat th preseason game,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
wake case see postgame column ve get stat red zone cal past season seriously,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
keep go lose game penalty min play,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
power cbs production truck kc jax game good chief,['film_tv_&_video' 'news_&_social_concern' 'sports'],[0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0]
sunday xi dec winslet mason over draw sunday xi over final game season sunday vs welcome hcg autumn,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
consider allow overage player team game idea coach game today,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
enter chance win alienware remnant ashe bundle giveaway alienwaregiveaway,['gaming' 'science_&_technology'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0]
game night confe vs royalsrule win groab,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
hope let like prior year let team giant come score right field score game dem boyz,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
new tagging game idk reply emoji question uwu,['gaming' 'other_hobbies'],[0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0]
quick tweet result brewer cub series game today september expect outcome happen,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
like remember kid year ago make incredible catch save game,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
watch lec guy think win today cg reverse sweep cody sun quadra close game confuse tomato gif right track,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
awesome win double exclamation mark score goal fresh triston key soccer ball hard fight match colt great game coug break streak,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
brady roethlisberger movie obviously chris pratt tom struggle play ben,['celebrity_&_pop_culture' 'film_tv_&_video' 'sports'],[0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0]
clean numbani playoff game iconic duo upward owl,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
drinking game sn fon nbc tonight drink time talk screen,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
want play poke pull ben bad half game know lose steelersvspatriot,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
st margaret pm game canon mac forwards migliozzi felse robb gollob freeman cessna lutz defense strilka muha zulka goalie malley,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
hunch circumstantial evidence allegedly attempt sway titansvs brown game yesterday nfl enter sketchy territory get come,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
sep softbank hawk vs lotte marines game highlight yahoo dome npb,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
big mismatch tonight de nvs oak game thought action game analysis,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
raven vs dolphin post game breakdown,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
devs truly outdo chapter regret single second play amazing experience game,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
update scoreboard non conference september home game night games lsu non conference september home game night games lsu game mc neese state kickoff schedule cancel weather,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
final jv vs good game girl,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
groom halftime performance raider game saint game bts pic styling stunt drive genesishalftimeshow espn,['celebrity_&_pop_culture' 'gaming' 'music' 'sports'],[0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0]
super game orleans win thriller saint gameday texansvs saint,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
soccer girl varsity game westford academy vs wayland high school westford academy trustee field dcl girl soccer,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
fix hire devs nba year beta game star game company put trash year,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
boom game day varsity boy girl soccer ditch vs pick north game times girls boy pawsitivity tiger soccer,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
great read great pic boot season point hit game sunday vs white goal rest season angeles,['news_&_social_concern' 'sports'],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0]
know huuuge long shot see game capcom vs snk song terry true love make ll prolly hear different song game smash bros,['celebrity_&_pop_culture' 'gaming' 'music' 'sports'],[0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0]
game preview week penn state vs pitt michigan state vs arizona state purdue vs tcu good stuff,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
girard indians vs john kennedy eagles hsboh wr,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
new podcast break dolphin game talk cardinal call crawford chronicle,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
friday game vs air live network exclusively catch special encore presentation saturday pm apple,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
check olathe north vs lawrence free state game highlight sept olathe north high school varsity volleyball hudl,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
want original charm come marie combs mc streghe ilpoteredeltriocoincidecolmio powerof threewillsetus free,['celebrity_&_pop_culture' 'film_tv_&_video' 'sports'],[0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0]
understand recent steam saint yes good at road bree goff home road split favor ram sho week saint emotional mnf game public love saint watch,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
isn sport rugby show toulouse vs city match weekend think show playoff match,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
ok muscular injury real madrid time na federico valverde hin miss tomorrow game ucl opener vs psg everybody kukuma injury,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
sept vs quarterfinal action leg game repo,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
game tournament go point point umw vs columbia start minute,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
game area grandview height man follow follow arcadia final game sure ll tfhss,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
cardinal field cross town rivalry game leuzinger olympians go to great night lawndalerockstar lawndalecardinalfamily togetherwewin cifssfootball dale football,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
game day team action week st vs pm kick reserve vs reserve pm kick rd vs rds pm kick good luck team white circle ut,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
ohio state indiana pick today,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
halewood lion vs msb sounder tomorrow academy leather lane look forward game,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
footballer watch teammate stroke way game teach player cpr,['fitness_&_health' 'gaming' 'news_&_social_concern' 'sports'],[0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0]
think buffalo expect physical game force today let fly afvscu,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
college football saturday athletic punch close temple won boy unsatisfying,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
elimination game vs catch live pm de ready world sunda yfooty,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
minnesota viking vs green bay packer prediction handicapping preview vegas pack skol,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
announce attendance vs tonight large crowd history nny,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
battle night vs roc body night vs shine physical battle night vs cal performance night body bag,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
love minute vs definitely favorite pro wrestling match ve see life bloodsport,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
tyson fury otto wallin sta time live stream fight prediction date card odd preview tyson fury boxing otto wallin deontay wilder,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
cowboy release chris covington texans try,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
new traffic rule public vs police rajmohal bhubaneswar odisha white color crime wl increase govt release innocent woman,['news_&_social_concern'],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
know preseason take tomorrow preseason game golden vs mobile,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
check add closet poshmark vs black white cami shopmycloset,['fashion_&_style'],[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
check game recap madison academy brewer,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
philadelphia eagle vs atlanta falcon prediction handicapping preview vegas brotherhood fly eagle fly,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
halftime nationally mater dei st frances academy,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
fantastic game girl yesterday great adve girl football present county thank ryman bring colebrook girl sure regular fixture vs black circle soccer ball,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
ind vs sa september timer clock pm ist,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
want example big sport dhoni quote dhoni retire injure rest dare utter word drop,['celebrity_&_pop_culture' 'sports'],[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
leader trophy st round st leg vs re,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
game day soccer ball vs oxleather fc div alarm clock sponsor roebuck draycott clay lower abbot bromley school cmon stag,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
season food schedule far wk vs miami cuban sandwich thank wk vs arizona chicken chimichangas choc banana chimichangas wk vs kansas slow cook bbq rib wk vs cleveland pull pork wk vs pittsburgh pierogie primanti sandwich,['food_&_dining' 'sports'],[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0]
indvs sa heavy downpour dharamsala ahead,['news_&_social_concern' 'sports'],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0]
check add closet poshmark nic zoe size xl dress dark brown knit fit flare shopmycloset,['fashion_&_style'],[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
lion cub escape mother witness king cobra spray cpatecmwitt lion vs king cobra lion cub escape snake hunting return,['film_tv_&_video'],[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
st good walthamstow bournemouth local resident try contact office twice phone time office door plus today second meeting let know good,['diaries_&_daily_life' 'relationships'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
matchup philadelphia eagle vs atlanta falcon comment think win tonight sunday night game fun bfitathletic stancesock sock sockgame,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
round vs nba twitter,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
sooooo chase vs yesssssss,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
match cwc challenge league tomorrow morning host cest match centre extra update feed follow match centre team toss weather dkcricket,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
vanilla lace vs dupe pink himalayan sea salt argan hemp rganic handmade luxury soap cake bestselle egan soapas mother day soap,['business_&_entrepreneurs'],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
icymi state ku history weekend ku end road losing streak power team ksu beat sec team regular season time time team win road non con game week year,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
check add closet poshmark vs uplift demi bra shopmycloset,['fashion_&_style'],[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
second leave half vs angeles flag punt return save detroit fumble tragedy special team issue,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
lightweight fight need ufc vancouver vs mc vs vs,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
point person need trade stephen ross trade good player game team suck real hard fan hard rock stadium right go dolphin,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
switch raven vs chiefs sunday night week,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
wow vito goal rusnak times surely lose footing bad luck salt vs united mnufc mi nv rsl coyl,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
know game today know give run game vs know ufc fight clubhouse whew let walk plank review week let bucs,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
msoc time pilot hit pitch wisconsin tune live update pilot soccer ball wisconsin madison wis mc climon soccer complex alarm clock pm pacific,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
antonio brown debut dominant defensive effo gostkowski beat heat recap patriot win dolphin watch,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
champion vs championship cause,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
uk govt end single crewing roll taser police officer sign petition org,['news_&_social_concern'],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
live chief rewind week raider chiefs kingdom,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
msoc final shaw bear return mac wednesday sept,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
tear gas water cannon brick molotov cocktail thousand defy protest ban hong kong island,['news_&_social_concern'],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
stream live ral pup cup vs gumbawlz,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
match woman tag team championship vs wwe clash,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
djeff vs projeto kaya beija flor music video tube projetokaya wdbmanagement kazukutarecord,['celebrity_&_pop_culture' 'film_tv_&_video' 'music'],[0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0]
lose vs excited play ec boy gg,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
lose vs ecs fun playing boy look forward future match,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
new york giants daniel jones week starter vs tampa bay bucs eli manning go bench,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
premier county semi final vs thursday th patrick park enniscorthy suppo need upthe butter red heart,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
join gitex technology week october th th dubai world trade center uae great technology gitex,['business_&_entrepreneurs' 'science_&_technology'],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
confidential memorandum date aug office president order suspension negotiation signing loan grant agreement country vote favor unhrc resolution july,['news_&_social_concern'],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
look ahead sunday daniel jones debut bucs defensive coordinator todd bowle vs rookie quarterback coordinator head coach stat nyj nyj ari phi,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
soccer ball ebfl division match highlight soccer ball watch extend highlight game sandhurst townmead match footage film aboard htfc watch right arrow curve,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
check rare wayne gretzky th annual burlington horseshoe program mint,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
look shootout scoreless win houghton sta play greatdaytobeahawk goal wheeler gagnon singer osborne save,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
ray th red sox indians th stay hottt,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
way watch past episode mel robbin cc miss entire week catch episode tube find way episode fire tv thank advance,['celebrity_&_pop_culture' 'film_tv_&_video'],[0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
legal expert predict ivanka trump indict fraud charge new york entire trump family criminal enterprise,['news_&_social_concern'],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
slip away official music video dr ross henderson save dog tiki blue healer nice knowledgeable intensive caring humble person need vet service year dr ross good see,['celebrity_&_pop_culture' 'film_tv_&_video' 'music'],[0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0]
enjoy dark mode greatly appreciate,['science_&_technology'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
await bigil audio launch day nanbas today pm telecast nanbas time free watch video bigil audio launch begin till end surprise thing wait nanbas bigil audio launch sun tv bigil,['film_tv_&_video' 'music'],[0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0]
okay congratulation sell entire festival mf money ball court excited upcoming year,['arts_&_culture' 'music'],[1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
hinahanap ko na yong bonggang selfie nyo boy shout ayeeeeee asap sundate boyband ph,['music'],[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
climate change protest today uk pa global strike,['news_&_social_concern'],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
giorgio armani take languid leisurely bow courtyard private palazzo earthily asia influence collection rule red carpet bio review giorgio armani,['celebrity_&_pop_culture' 'fashion_&_style'],[0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
try different tactic year basically run exact time second slow year personal good skill yep complete th half marathon please swindonhalf,['fitness_&_health'],[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
come freak mouth blatantly false watch jerry nadler climate change great threat world war,['news_&_social_concern'],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
stall drive red zone prove costly night arkansas state learn siu backup qb rb javon williams jr real deal,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
quinnipiac field hockey take vermont conference matchup afternoon fall sho time conn game right arrow,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
week world leader convene new york general assembly climate change iran venezuela rundown issue,['news_&_social_concern'],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
family man tv series overwhelm watch act dhriti acting worth talk neeraj madav good complete season guy kudo,['celebrity_&_pop_culture' 'film_tv_&_video'],[0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
personalize field hockey keychain field hockey gift,['fashion_&_style' 'sports'],[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0]
climate change trend big sexy issue constant problem,['news_&_social_concern' 'science_&_technology'],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0]
night huge thank entire ucla crew good business thank tune send message absolute blast highlight game remember,['business_&_entrepreneurs' 'sports'],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
miss recent blog reveal testing tool use threat stack ensure secure code deploy piece,['science_&_technology'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
clean sheet mark th league sta club move th time ahead hezzy hvfc,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
slapper alert cupcak ke crazy story remix official music video mon,['film_tv_&_video' 'music'],[0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0]
